scenario,train_end,test_start,test_end,test_rows,model_auc,baseline_auc,model_hit_rate,baseline_hit_rate,model_sharpe,baseline_sharpe
oos_from_2025_06,2025-05-31,2025-06-01,2025-12-31,146,0.4978354978354979,0.5,0.5068493150684932,0.5273972602739726,0.11353090272692554,1.1912326802425326
oos_from_2025_07,2025-06-30,2025-07-01,2025-12-31,125,0.5239497950819673,0.5,0.504,0.512,0.7680389509652533,0.6158325272104179
oos_from_2025_08,2025-07-31,2025-08-01,2025-12-31,102,0.5411992263056093,0.5,0.5392156862745098,0.5392156862745098,1.6861810712523877,1.9519944363816202
